region,RMSE_2param,RMSE_4param,MAE_2param,MAE_4param,MAPE_pct_2param,MAPE_pct_4param,R2_SSE_2param,R2_SSE_4param,R2_corr_2param,R2_corr_4param,n_2param,n_4param,d_RMSE,d_MAE,d_MAPE_pct,d_R2_SSE,d_R2_corr
Centre,26442.89349593762,18406.788683684976,26346.625,18307.458333333332,97.78632386259314,67.88443296867091,-111.3194898070949,-53.42434656465891,0.24658347209237685,0.43823919172379644,12,12,-8036.1048122526445,-8039.166666666668,-29.90189089392223,57.895143242435985,0.19165571963141959
Adamaoua,7904.405576691604,1589.945223113048,7801.208333333333,1260.375,93.1309866009832,15.70530939808002,-27.16587231321842,-0.13959123121248518,0.2840722904645016,0.1277737421359417,12,12,-6314.460353578556,-6540.833333333333,-77.42567720290319,27.026281082005934,-0.1562985483285599
Nord,11107.477673659008,5175.399064725992,10394.125,4171.708333333333,92.86562220549278,36.043533628190524,-8.177258651680607,-0.9923689280945742,0.11408716487141728,0.4461791624543628,12,12,-5932.078608933017,-6222.416666666667,-56.82208857730226,7.184889723586032,0.3320919975829455
Littoral,14206.46583499335,6184.559622896902,14081.458333333334,6042.291666666667,95.89645563906807,40.80874916832453,-47.92486123420911,-8.272034983192839,0.15009334176630917,0.6017214212809192,12,12,-8021.906212096449,-8039.166666666667,-55.087706470743534,39.65282625101627,0.45162807951461004
Sud,2314.7252941763954,5830.558319106327,2288.7083333333335,5750.458333333333,80.6059487688641,198.81340035578313,-31.87719420026623,-207.6008719466431,0.7168324103068068,0.6687524687396981,12,12,3515.8330249299315,3461.7499999999995,118.20745158691903,-175.7236777463769,-0.04807994156710871
Ouest,6626.626896154131,1728.5500366395722,6499.125,1553.125,91.97689462034889,24.381425136444953,-17.04864796403712,-0.22807120303082007,0.3523434731085155,0.7497750334799188,12,12,-4898.076859514558,-4946,-67.59546948390394,16.8205767610063,0.3974315603714033
NordOuest,5696.5774026310455,2892.014418330817,5557.541666666667,2749.7083333333335,90.92690624731631,49.37874878484836,-12.734853648563062,-2.5399484547862117,0.3878660767934328,0.20422283415791292,12,12,-2804.5629843002284,-2807.8333333333335,-41.54815746246795,10.194905193776851,-0.1836432426355199
SudOuest,7486.770934176719,1356.3687044826713,7449.458333333333,1122.875,92.77521197155745,14.2901316879102,-65.90021020794319,-1.1958057226848533,0.34204855020322955,0.16679121222875887,12,12,-6130.4022296940475,-6326.583333333333,-78.48508028364725,64.70440448525834,-0.17525733797447068
Est,8192.360319478548,759.7156677555975,8106.541666666667,646.4583333333334,93.43310220694757,7.26451202551609,-27.11799030747358,0.758193287704701,0.5184227713840223,0.7631069773969603,12,12,-7432.644651722951,-7460.083333333334,-86.16859018143148,27.87618359517828,0.24468420601293805
