"i0" "birth" "q_b" "q_mu" "Iv_0" "delta" "w_h" "phi"
"1" 3598.41139519505 764.739576147906 0.00427052982002195 0.210493842451552 708.967553914278 0.0431142635701346 0.153951317543733 0.0013730485096234
"2" 3166.48434076623 902.065596107298 0.00520646434889415 0.291696589482353 792.903272920937 0.0144557201784031 0.102370443586774 0.0081226181135883
"3" 3615.07541444718 781.306952958001 0.00459947975991229 0.238805673160236 674.630217124492 0.0130408229846204 0.175350119173546 0.000921493452436487
"4" 2927.45441602318 775.085657067635 0.00376511394086161 0.190033201859935 1246.79051929253 0.0242816058762001 0.115125083049787 0.002512133751733
"5" 3614.58255513093 708.74085620006 0.00442364576259109 0.21556067411418 653.842869646966 0.0178828210790486 0.263654128345584 0.00104556120875102
"6" 3646.40523399688 673.919064799754 0.00496140922104639 0.229186301615696 295.081814057402 0.0397536810574259 0.285163061832655 0.00203157073137432
"7" 3833.91481873365 807.002802719878 0.00496488671120309 0.254487831274112 282.993160672415 0.0424166861799385 0.179388353917065 0.00331216978604156
"8" 3889.84080913625 775.171866719637 0.00475997282848029 0.242117498391992 261.853437164688 0.00948557935996356 0.129199585049383 0.000926791502263521
"9" 4079.62670337658 881.320423165576 0.00496151359355241 0.268303688458769 263.025343472059 0.0118772895662955 0.0793735201762709 0.00194719115498328
"10" 3230.89635349362 834.952269529632 0.00460301332120001 0.241509084628906 826.179865488566 0.045394614843966 0.204176742702138 0.00204150592562941
"11" 4171.70920802326 736.50629898364 0.00389357956243447 0.192179114713599 697.706082031363 0.0180969398279221 0.0879723055347207 0.00175933443076935
"12" 3863.14510993187 688.174760167876 0.00451812283779685 0.214678483633042 459.483943922487 0.00869201481656047 0.29842757401755 0.00303894303081566
"13" 4275.92551158631 871.726518467878 0.00445914964797195 0.241123969295045 355.53276563523 0.0193346278536967 0.0372256037369732 0.00298856228090981
"14" 4487.18675809738 728.708689419427 0.00395326625861069 0.195740547517142 626.360035291159 0.016844132117181 0.131771997081095 0.00217246656905067
"15" 3910.26358482758 815.362030058352 0.00501600017051607 0.263996492524506 382.710482466462 0.0130830820008092 0.137154616954715 0.00228845877904379
"16" 3596.92457873555 763.355644016663 0.00513350835816479 0.262403134238221 569.417474523857 0.0208550451776282 0.117504333763466 0.0249221822268061
"17" 3260.29171985319 676.01475771237 0.00436344235285896 0.208943166514987 899.963468138251 0.0177585644396951 0.130348817836156 0.00254885578991786
"18" 2757.51197983077 800.702348768295 0.00458074896587767 0.234130353548707 1005.38405020851 0.0184927392268358 0.554114341135548 0.00225584392726564
"19" 4244.36625373184 676.615872162485 0.00447896727516313 0.206481716989709 174.145025817371 0.0206033431469122 0.191651530331351 0.00179550700082824
"20" 3608.81498265705 828.307255904349 0.00442124334174611 0.232054633356866 733.965259297534 0.0267491239095118 0.177787745241864 0.00144607066598271
"21" 3019.99861102921 741.738876538512 0.00479045122579955 0.237008678947997 679.957586683134 0.0165367210749673 0.252645117605529 0.0035895683287549
"22" 3945.79728272529 644.292871715192 0.00442181662466893 0.202392675070765 234.515558994695 0.0142353303761688 0.147676356773694 0.00306509858269981
"23" 3135.56923814778 766.586847773086 0.0049569459440082 0.250847083127409 592.976999373518 0.0167535758246598 0.195115583025344 0.00126812191962603
"24" 3237.43260748308 712.540587107474 0.00425810182695371 0.205179055362948 663.136500934867 0.0222701219514185 0.288898282538989 0.00130695572418372
"25" 4914.2726754074 953.674691249991 0.00434814426421286 0.249191017016621 423.97811644303 0.0218029490133346 0.414236608453955 0.00539430920310503
"26" 3535.62901561319 741.423642059053 0.00467103310161957 0.23236480171871 618.248151964033 0.0212893421041514 0.367514263192588 0.00181498297850082
"27" 4119.34218686341 714.68543635767 0.00426910304157106 0.205403471082674 401.239514088596 0.0220905539774609 0.189417702148986 0.000619648415894748
