"i0" "birth" "q_b" "q_mu" "Iv_0" "delta" "w_h" "phi"
"1" 1361.68436121399 1698.564727158 0.216189662772935 8.21743344043884 671.447146692714 0.0188267908714008 0.395169479983605 0.0403261747129864
"2" 1510.59870359143 1433.4549822119 0.158342813689277 5.10293693937071 449.862364490822 0.0127941603321144 0.218672040215583 0.0442601971928901
"3" 5865.99253107607 3757.23775269117 0.139036272848393 9.17551558799232 480.864598798827 0.0131669092672321 0.176016931734719 0.0538220653786633
"4" 4804.04027849064 2808.97200120827 0.0746089348490133 3.9475335378385 429.869581423876 0.0160663413548663 0.449444890532281 0.1471381112599
"5" 5722.65886513178 4135.0128532032 0.0849806387818468 6.09041187268406 332.039692331028 0.0168582787423526 0.164545943203398 0.0540560048699679
"6" 3938.99468097608 1852.88508511525 0.184697772597403 7.80185030716267 433.34304162047 0.018625219058464 0.281538201716559 0.0592561639781699
"7" 4198.32090914988 2761.19067176122 0.0733556520197986 4.15510321930905 965.447533688761 0.00782887962638288 0.114169749831692 0.0799299620067863
"8" 2238.08858999664 2129.80772252202 0.129184221828953 5.31656756416639 220.1369189228 0.00915196542592697 0.1407858466968 0.0703436522713005
"9" 7577.13913963612 2781.26281049844 0.00964967078863057 0.543258848440347 730.751447110994 0.0200106412100985 0.298000846350863 0.0354228027623665
"10" 496.170162291065 1860.38490142835 0.166473055293783 6.24651178143687 315.814904133553 0.0200832723571513 0.188338534118226 0.0869711332443413
"11" 2395.1858049381 1872.3222141428 0.172917953854575 6.57170360143483 291.803132746371 0.0146622077952235 0.283557798965285 0.0488570578897493
"12" 3337.65384161356 3290.9344106053 0.094219017029235 5.76676290828619 447.54870394027 0.0159589286052637 0.204161184652361 0.0903005550614858
"13" 1478.34747967717 1421.84679651085 0.0894028849368545 2.74842156390579 354.456976540733 0.034264283960395 0.221636773962705 0.0927346912218289
"14" 7177.26236597903 3077.4744590497 0.147325240350942 8.76123062673836 415.577561789692 0.0375066803718317 0.119112952176677 0.0574456559948522
"15" 2044.69641848579 1501.52827374922 0.166984781543641 5.24363366087245 192.155716460413 0.00997529623607837 0.214234000957575 0.0560000979657116
"16" 2395.89238387671 1475.02322946242 0.0201742235007742 0.689601449406092 370.660950716559 0.0135190836081074 0.323543833653563 0.084715454317944
"17" 3748.07767993033 2248.33799806036 0.0407135715872354 1.72606787894458 661.36083815008 0.0550657110585204 0.196408959501867 0.0525153976882967
"18" 5938.8762595585 2705.65469998708 0.0295724054589856 1.61770117138289 412.581245414559 0.0388726039989067 0.514167010494238 0.0434471985298876
"19" 8597.39589465003 3901.89365188338 0.0934547374406113 7.20458300228796 502.357510836019 0.0128992218436706 0.556723701101427 0.0821456365949628
"20" 3469.92711063732 2098.02124933291 0.0440160362745057 2.01094116520016 851.029239020914 0.0203647573415076 0.12655361965374 0.0984042722539884
"21" 5851.43796079033 5086.95005913007 0.0435586241766544 3.62212398083149 811.102726739726 0.0242470609302024 0.310562786494644 0.0541908559357087
"22" 6341.3252543898 2725.03954134569 0.0863449395985363 4.79637475032583 669.155733888015 0.0375657491301536 0.328618211783461 0.0418759919113044
"23" 3261.73214907506 2095.91320023015 0.0664404480932741 3.03712743895395 368.355982987436 0.031749979882446 0.354197504676315 0.0639069330335891
"24" 2606.70990892599 2302.2422203841 0.172138262873155 7.59761106418768 402.705162860062 0.0390306385655626 0.183593543578005 0.0815098330007014
"25" 6291.26008319661 2591.43968978733 0.171204236132002 8.82211397695109 557.178752217672 0.0190115777062126 0.468013654495973 0.0507372698337889
"26" 3264.99254254339 1841.19465670043 0.0200127538306739 0.705127174238584 660.444745115136 0.0372085794776314 0.280297515633365 0.115718035673311
"27" 1907.70002132407 1763.18643430507 0.063354048519884 2.40284792691953 376.322399354163 0.0310351622699316 0.457513612436994 0.0703495149184733
"28" 2759.66797466318 2291.9713707511 0.0657002526676862 3.08495527304424 1523.67840124765 0.0630113664687532 0.185951706382869 0.0439319634144201
"29" 5593.02458238816 3528.06871723839 0.0114193830365597 0.717912711752134 514.467263183741 0.0216807813950981 0.190817594369502 0.0445623096509784
"30" 6813.94458381318 3888.7793011389 0.0292525346848808 2.0858605629548 444.490645248872 0.0184109920437281 0.225343202895048 0.045177564003478
"31" 1667.92615279789 1855.36764434029 0.123563002294127 4.86205021219948 724.669966361236 0.0145829651057044 0.264445034599916 0.0793121177597279
"32" 3490.23852932323 2914.02660879947 0.0234892990141237 1.28541166129824 1094.19508264761 0.0131769683153172 0.0571542824640678 0.0503860499701479
"33" 2484.71845276587 2082.02333273979 0.0364418531420965 1.48996061535864 454.099930828033 0.0450905678662727 0.858606605485237 0.0438132331207268
"34" 5210.58385182469 2821.24051540706 0.0794273414725301 4.64251092933797 549.222531512252 0.0160665270427117 0.314124337586911 0.0693325312804228
"35" 2633.04093034236 2406.62198197293 0.0282463245485743 1.33359787354744 520.12886100724 0.0199233691167599 0.428122220247285 0.0581759470694752
"36" 2621.91454203527 3025.22175886121 0.0893160422079406 5.55693690299707 517.807287740445 0.0122858049341013 0.14421386802945 0.118300564808643
"37" 1084.82057952106 2089.2584073005 0.243978636034509 9.23237951577777 534.77619325371 0.0159018539099963 0.0958454016494557 0.077108923496696
"38" 2699.60787991042 3227.13630132243 0.15408319255158 8.3219800773231 605.287621177011 0.0146512442434095 0.14978381798841 0.0923130038251904
"39" 6370.6744191872 3596.60609777633 0.0360542925782789 2.64001058401985 395.966287053751 0.0379300287263862 0.571253901005524 0.0448570088627502
"40" 2172.82492080393 1693.10177106645 0.0256665665511621 0.931590603650076 729.649903173092 0.0138495979064963 0.187623715700386 0.04302084680348
"41" 2717.8749416757 2304.37227257223 0.0904373758904067 4.27613435878098 766.122887510341 0.0127162908287684 0.185734397266846 0.0235111609585368
"42" 3957.91515534621 1690.99042830543 0.122607390549188 4.65521297111796 420.661107431402 0.029026951192239 0.39143138902956 0.099007713106274
"43" 1941.95576130053 1722.57189753417 0.20901820347471 7.19787789768335 227.639277715293 0.0110191876836236 0.175514543250878 0.0524210434209294
"44" 4941.02090123086 2696.1884566006 0.0681833886853831 3.51815212721772 979.385084075426 0.0130524614053915 0.282814595604865 0.126408021025816
"45" 3572.22228503938 3619.97036933996 0.0811396379526404 5.11997315874277 384.774696198913 0.00452025854011071 0.465773479350754 0.0443106066659227
"46" 1391.7425273808 1278.92978834046 0.0680340328595149 1.98515271617037 273.033501863759 0.0254711927414698 0.141118037571915 0.0575495242666284
"47" 1724.29614617245 2188.67103647013 0.0904860955984557 4.02536939596856 1206.77795757276 0.0194673288063729 0.140475073109447 0.0281875744400733
"48" 1921.42688049669 1963.00215765484 0.101277693513712 4.04694022182637 284.892654828085 0.0120964274962681 0.133943774538717 0.0887192605201119
"49" 1708.80636987283 2110.59571788627 0.0986001455309037 4.32453311128988 1209.15232654361 0.0193887202424597 0.132953732414073 0.0274010542868349
"50" 1355.06136767018 1163.01155808483 0.306538921541693 8.09744900038893 344.793482901913 0.0304262406498957 0.204182173162932 0.0510624985491001
"51" 1878.37068453588 1566.70186871756 0.225967889124988 8.19260325365551 482.321311041044 0.0104566452110194 0.153194381152278 0.0773511238709185
"52" 2579.44947666869 1981.27186045958 0.0165586591397984 0.686592061043853 349.042627098564 0.0302035263026709 0.124085940378769 0.0730197705261041
"53" 472.090435083262 894.355773206959 0.209548570653893 4.79020731716303 463.972254603158 0.0190112383321682 0.273906160793735 0.0770324430123358
"54" 3158.59790908203 2312.91637555234 0.10062818342397 4.55740403307562 156.959366301318 0.0422705897259657 0.172369228248203 0.0518624975470847
"55" 2557.58264981153 1518.0983865541 0.0793203756444147 3.04445747966047 329.578080878844 0.0199838136265705 0.132705734857913 0.0951843196423527
"56" 1987.6068975132 1832.16899290028 0.119703940071624 4.57743660202852 340.211874842705 0.0140775912886317 0.487819971874493 0.14621312338535
"57" 2343.37942393436 1121.80566712074 0.110333320893841 3.42087852464304 520.500377794983 0.0155021431748159 0.230410815018811 0.112935546562201
"58" 1601.36233729432 1417.53904550157 0.228335139739289 7.45076154376677 474.816871416196 0.00507464403937194 0.21835065228959 0.0702990705690095
"59" 981.360535080799 1306.02447295002 0.0677613782964188 1.90993190684872 243.044411111123 0.0171781653949448 0.115178242761819 0.0491891649707052
"60" 2397.65486685179 2037.34000343233 0.16029122724827 7.08555997249307 366.444074986579 0.0110604407610775 0.131998141332625 0.0574759033179124
"61" 2594.09211207875 3038.24117806164 0.0579642312271967 3.2912620679928 868.489962816199 0.015262926152543 0.150720529909255 0.0358265153769068
"62" 781.565023677991 1303.68943121259 0.116888484703515 3.82039201438231 546.601677481812 0.0169808368299927 0.0860368192145916 0.125785159695643
